Abbrev,mean,n,sd,min,Q025,Q25,median,Q75,Q975,max,upper_outlier,lower_outler,outlier,Name,States,Coast,INSIDE_X,INSIDE_Y,int_position,manual_check
Tickfaw,40.628419,156,42.63198195,-3.32022047,-1.274435163,0.738694847,45.97823715,2.013422489,179.4658947,205.8021393,5.837605417,-3.085488081,outlier,Tickfaw,LA,Gulf,-90.62962208,30.67040289,123,exclude
Middle_Ne,45.93115671,6,53.34274096,-3.250542164,-3.181852072,0.738694847,44.96622384,2.013422489,96.49558735,96.72644043,5.837605417,-3.085488081,outlier,Middle Neuse,NC,Atlantic,-77.45596994,35.29965062,202,exclude
West_Fork,56.72595955,73,62.43337426,3.046963692,5.640802288,0.738694847,37.08010483,2.013422489,189.3927734,363.7658386,5.837605417,-3.085488081,outlier,West Fork Calcasieu,LA,Gulf,-93.40748986,30.50250815,113,exclude
Amite,32.73173242,144,28.36860606,-3.843905449,-3.448393589,0.738694847,34.34643555,2.013422489,85.39543419,206.5283356,5.837605417,-3.085488081,outlier,Amite,"LA,MS",Gulf,-90.90949104,30.78576159,120,exclude
Upper_Ca2,46.68050638,71,54.22831459,-1.763727546,4.065040648,0.738694847,23.63122177,2.013422489,181.3660049,186.6358185,5.837605417,-3.085488081,outlier,Upper Calcasieu,LA,Gulf,-92.95479195,30.43014798,115,exclude
San_Anton,12.25275123,3,9.192880462,1.638037324,2.430627435,0.738694847,17.48983955,2.013422489,17.62334995,17.63037682,5.837605417,-3.085488081,outlier,San Antonio,CA,Pacific,-120.4903634,34.79860309,64,exclude
Sixes,25.95568167,1340,30.28347474,-2.212373018,0.668325289,0.738694847,16.13350296,2.013422489,89.66344814,445.7245178,5.837605417,-3.085488081,outlier,Sixes,OR,Pacific,-124.413092,42.78488785,37,exclude
Necanicum,24.71581472,110,33.19658759,-1.843069911,-0.930239257,0.738694847,8.667382717,2.013422489,115.4377573,131.2608795,5.837605417,-3.085488081,outlier,Necanicum,OR,Pacific,-123.9558444,45.93636625,24,exclude
Lower_San,10.87051816,5199,10.13627394,-6.459858894,-4.109072208,0.738694847,8.068120956,2.013422489,34.56530972,68.78440857,5.837605417,-3.085488081,outlier,Lower San Antonio,TX,Gulf,-97.76747343,28.90428987,85,include
Chetco,14.95286839,758,23.67773965,-2.473839998,-2.045229852,0.738694847,6.726749897,2.013422489,83.26871605,214.8738098,5.837605417,-3.085488081,outlier,Chetco,"CA,OR",Pacific,-124.1840847,42.20200413,39,exclude
Lower_Nue,6.755450938,2092,3.658737785,-4.564329147,-0.755531399,0.738694847,6.607518196,2.013422489,14.89047618,40.47587204,5.837605417,-3.085488081,outlier,Lower Nueces,TX,Gulf,-98.03417848,28.21556114,84,include
Navidad,6.613644835,3352,3.527475413,-7.58597374,0.991236195,0.738694847,6.080968142,2.013422489,14.00648067,49.36084366,5.837605417,-3.085488081,outlier,Navidad,TX,Gulf,-96.66429769,29.3662575,98,include